ustime gx gy gz ax ay az
2317045522 -2066 9279 -6628 -20430 -5456 -5045
2317051959 -1606 10405 -8191 -17161 -5865 -6359
2317058395 -396 11600 -9288 -11969 -6534 -11335
2317064825 1329 12299 -9319 -10634 -4028 -8001
2317071268 1845 12124 -8464 -10126 -2540 -4371
2317077706 673 11523 -7248 -10356 -2404 -3046
2317084118 -822 10762 -5815 -12787 -2095 -1493
2317090514 -2461 10117 -5008 -13691 -2871 -2712
2317096951 -3747 10058 -4985 -15502 -3471 -2420
2317103388 -4251 10516 -5090 -12581 -5817 -5549
2317109831 -3827 10291 -4518 -15565 -3991 -5777
2317116268 -3645 10088 -4488 -14294 -5276 -5791
2317122706 -3514 9583 -4232 -14043 -5899 -5928
2317129155 -3351 8686 -4066 -13654 -6050 -8047
2317135574 -2854 7662 -4295 -12614 -6248 -9517
2317142011 -2356 6939 -4358 -11677 -6488 -9572
2317148450 -2098 7207 -4522 -11517 -6230 -8792
2317154883 -2211 8089 -4756 -11486 -5650 -8941
2317161323 -2352 9489 -5085 -11294 -5808 -8729
2317167852 -2496 10552 -5270 -11270 -5615 -9410
2317174325 -2532 11077 -5479 -10815 -5434 -9375
2317180763 -2472 11190 -5150 -11024 -6289 -10322
2317187218 -1703 11175 -5062 -9934 -8683 -14835
2317193661 379 11070 -4755 -8742 -11491 -18285
2317200163 3714 11187 -3694 -13531 -8305 -15974
2317206698 5798 10627 -3108 -18100 -4578 -3920
2317213218 3812 10027 -3715 -18382 -3363 206
2317219748 315 9473 -5029 -15869 -5309 -29
2317226221 -2577 8620 -6708 -18097 -3476 -1392
2317232657 -4423 7225 -9796 -13014 -6386 -6445
2317239095 -4977 6677 -12335 -13010 -7290 -8918
2317245533 -5133 6596 -13842 -11979 -6916 -8879
2317251965 -5022 6578 -14854 -9977 -6769 -10963
2317258405 -4566 6785 -15834 -7032 -6307 -10655
2317264843 -4277 6968 -15628 -5911 -5931 -12843
2317271283 -3641 6444 -14720 -4874 -5099 -12888
2317277818 -2853 5797 -12498 -5660 -4345 -10513
2317284261 -3265 5427 -10310 -5737 -5410 -9861
2317290694 -3362 5490 -7897 -5906 -6227 -10219
2317297132 -3496 6028 -6274 -8328 -5726 -10044
2317303572 -3672 6521 -5499 -5270 -13323 -18809
2317310000 -2346 7798 -5073 -8647 -9585 -15984
2317316454 -2095 8577 -5503 -8198 -8276 -11822
2317322889 -3123 8946 -5970 -10529 -3769 -5979
2317329324 -5514 7771 -7636 -6638 -4307 -5418
2317335759 -6715 6519 -8746 -7550 -4323 -8358
2317342198 -6920 4968 -9044 -4786 -5365 -11199
2317348707 -6242 3727 -7669 -8082 -6399 -12308
2317355242 -5847 2856 -6906 -7438 -9087 -11030
2317361794 -5936 3121 -5809 -6987 -10644 -12846
2317368328 -5727 3861 -5453 -7118 -10933 -15534
2317374800 -5361 5673 -5529 -6299 -10109 -16415
2317381242 -4795 6876 -5618 -5464 -9321 -16184
2317387763 -4172 7675 -5543 -5291 -8198 -14773
2317394240 -2809 7654 -5116 -4936 -8179 -12811
2317400679 -1794 6959 -5035 -5498 -7964 -11513
2317407120 -1010 6204 -5040 -6021 -7507 -10336
2317413556 -793 5490 -5453 -5915 -8018 -10276
2317420012 -783 4666 -6353 -4181 -8015 -11925
2317426423 -636 4256 -7863 -3672 -7442 -12959
2317432850 -97 4174 -9275 -4063 -5640 -13864
2317439282 32 3902 -10139 -2433 -3453 -12738
2317445713 -693 3088 -9824 -880 -2513 -11765
2317452140 -1365 1956 -8637 1134 -2829 -10925
2317458574 -2073 818 -6424 1648 -2998 -10636
2317465012 -2860 -205 -4886 2137 -3310 -10656
2317471445 -3523 -1063 -3199 2307 -3548 -11815
2317477877 -3793 -2303 -542 2248 -4240 -12253
2317484310 -4015 -2716 1608 2024 -4979 -11956
2317490744 -4896 -608 2486 476 -5800 -13615
2317497182 -5584 3678 1157 -982 -6518 -16148
2317503623 -4448 5054 -9 -29530 -12090 -7519
2317510063 -4749 5778 -6396 -8146 -13430 -13300
2317516511 -3902 5756 -10120 -9816 -8464 -12597
2317522948 -3376 3547 -14039 -10553 -6738 -12663
2317529387 -2971 3022 -17259 -6382 -6759 -15560
2317535830 -964 3243 -18636 -5197 -7933 -16779
2317542260 20 3317 -20405 -1514 -6351 -15229
2317548691 687 4106 -20560 2963 -2160 -16078
2317555129 2132 4795 -18725 5951 520 -15688
2317561560 3484 4301 -15870 8015 460 -14336
2317567994 4075 2767 -11398 7799 -628 -13166
2317574424 3250 2440 -8315 7132 -1292 -14246
2317580862 2614 2375 -5788 5547 -1812 -15728
2317587406 2506 2858 -3406 5407 -3380 -17792
2317593881 2585 2421 -1838 3717 -5039 -17332
2317600315 2077 2436 -1039 1341 -6776 -16551
2317606836 1607 2614 -1500 -236 -11326 -12880
2317613355 127 3472 -2899 -3297 -13788 -9390
2317619861 -2764 5023 -5824 -5178 -12618 -8658
2317626394 -5245 6258 -9045 -6942 -12789 -8338
2317632898 -7630 6210 -12421 -1509 -7495 -14611
2317639377 -7052 5686 -14762 -2895 -5229 -16265
2317645827 -6324 4360 -17100 2878 -4007 -12898
2317652260 -7799 3197 -17127 6769 -5387 -20017
2317658716 -5859 -920 -14284 7453 -3274 -23635
2317665156 -3122 -4406 -11268 8474 -4668 -18250
2317671589 -2537 -5484 -9179 5418 -4841 -19043
2317678021 -1883 -6048 -8089 11526 -1952 -18198
2317684447 -2704 -4585 -5031 5369 -4736 -16370
2317690880 -2282 -4037 -4417 5157 -6248 -17017
2317697316 -937 -3706 -1068 6443 -8324 -14687
2317703723 208 -6058 2831 3316 -589 -11240
2317710165 -910 -7585 3681 2736 -3901 -14007
2317716613 -1319 -8059 3784 2813 -2009 -13024
2317723051 -278 -6354 2268 4971 -5784 -11169
2317729494 656 -2179 -2284 4003 -7927 -9966
2317735941 -977 -889 -3125 3508 -7311 -12207
2317742372 -725 -545 -4231 3739 -5368 -14408
2317748810 -464 -315 -6424 3475 -4003 -15965
2317755212 -508 -486 -8130 1718 -2874 -16881
